Date,Transactions
2024-05-01,478881
2024-05-02,559839
2024-05-03,442742
2024-05-04,660263
2024-05-05,625998
2024-05-06,519817
2024-05-07,372643
2024-05-08,450856
2024-05-09,517193
2024-05-10,713791
2024-05-11,719306
2024-05-12,557164
2024-05-13,554780
2024-05-14,422043
2024-05-15,493012
2024-05-16,476659
2024-05-17,573492
2024-05-18,401264
2024-05-19,644119
2024-05-20,626995
2024-05-21,545041
2024-05-22,583279
2024-05-23,744761
2024-05-24,736439
2024-05-25,835040
2024-05-26,852655
2024-05-27,551610
2024-05-28,596790
2024-05-29,725428
2024-05-30,510417
2024-05-31,701471
2024-06-01,740030
2024-06-02,729202
2024-06-03,769224
2024-06-04,627980
2024-06-05,562049
2024-06-06,613472
2024-06-07,263982
2024-06-08,509927
2024-06-09,767920
2024-06-10,658037
2024-06-11,463737
2024-06-12,690560
2024-06-13,731254
2024-06-14,604349
2024-06-15,452945
2024-06-16,461748
2024-06-17,441215
2024-06-18,617202
2024-06-19,634554
2024-06-20,532756
2024-06-21,592843
2024-06-22,681420
2024-06-23,492352
2024-06-24,528326
2024-06-25,536347
2024-06-26,490817
2024-06-27,414624
2024-06-28,593984
2024-06-29,712249
2024-06-30,505127
2024-07-01,611062
2024-07-02,592285
2024-07-03,545044
2024-07-04,538097
2024-07-05,490537
2024-07-06,658042
2024-07-07,673752
2024-07-08,593010
2024-07-09,654037
2024-07-10,631745
2024-07-11,642066
2024-07-12,658355
2024-07-13,735686
2024-07-14,586548
2024-07-15,552901
2024-07-16,529056
2024-07-17,615870
2024-07-18,445574
2024-07-19,507940
2024-07-20,680335
2024-07-21,859629
2024-07-22,824999
2024-07-23,838977
2024-07-24,596458
2024-07-25,719711
2024-07-26,459067
2024-07-27,445730
2024-07-28,753703
2024-07-29,826129
2024-07-30,683096
2024-07-31,562819
2024-08-01,544430
2024-08-02,410113
2024-08-03,504062
2024-08-04,524595
2024-08-05,548857
2024-08-06,485173
2024-08-07,380097
2024-08-08,487399
2024-08-09,396419
2024-08-10,548777
2024-08-11,644814
2024-08-12,450024
2024-08-13,579618
2024-08-14,504701
2024-08-15,660924
2024-08-16,575811
2024-08-17,702540
2024-08-18,769702
2024-08-19,553394
2024-08-20,717337
2024-08-21,687685
2024-08-22,795102
2024-08-23,799839
2024-08-24,794380
2024-08-25,705838
2024-08-26,600722
2024-08-27,673811
2024-08-28,733530
2024-08-29,524362
2024-08-30,542101
2024-08-31,701952
2024-09-01,651871
2024-09-02,754904
2024-09-03,582751
2024-09-04,722736
2024-09-05,721251
2024-09-06,667267
2024-09-07,781426
2024-09-08,910083
2024-09-09,572398
2024-09-10,568630
2024-09-11,411402
2024-09-12,563521
2024-09-13,419047
2024-09-14,638989
2024-09-15,712474
2024-09-16,504540
2024-09-17,539113
2024-09-18,541476
2024-09-19,455707
2024-09-20,526390
2024-09-21,557444
2024-09-22,628230
2024-09-23,580102
2024-09-24,532220
2024-09-25,503460
2024-09-26,474766
2024-09-27,451723
2024-09-28,507707
